Vivado Simulator 2019.2
Time resolution is 1 ps
2 0 34018000
4 0 34018000
6 0 34018000
8 0 34018000
10 4 10c00
12 4 10c00
14 4 10c00
16 4 10c00
18 8 34210010
20 8 34210010
22 8 34210010
24 8 34210010
26 c 34028000
28 c 34028000
30 c 34028000
32 c 34028000
34 10 21400
36 10 21400
38 10 21400
40 10 21400
42 14 34420001
44 14 34420001
46 14 34420001
48 14 34420001
50 18 411821
52 18 411821
54 18 411821
56 18 411821
58 1c 222023
60 1c 222023
62 1c 222023
64 1c 222023
66 20 810824
68 20 810824
70 20 810824
72 20 810824
74 24 40182b
76 24 40182b
78 24 40182b
80 24 40182b
82 28 34034455
84 28 34034455
86 28 34034455
88 28 34034455
90 2c 31c00
92 2c 31c00
94 2c 31c00
96 2c 31c00
98 30 34636677
100 30 34636677
102 30 34636677
104 30 34636677
106 34 ac030008
108 34 ac030008
110 34 ac030008
112 34 ac030008
114 38 8c010008
116 38 8c010008
118 38 8c010008
120 38 8c010008
122 3c 8000012
124 3c 8000012
126 3c 8000012
128 3c 8000012
130 94 2
132 94 2
134 94 2
136 94 2
138 xxxxxxX xxxxxxxx
140 xxxxxxX xxxxxxxx
142 xxxxxxX xxxxxxxx
144 xxxxxxX xxxxxxxx
146 xxxxxxX xxxxxxxx
148 xxxxxxX xxxxxxxx
150 xxxxxxX xxxxxxxx
152 xxxxxxX xxxxxxxx
154 xxxxxxX xxxxxxxx
156 xxxxxxX xxxxxxxx
158 xxxxxxX xxxxxxxx
160 xxxxxxX xxxxxxxx
162 xxxxxxX xxxxxxxx
164 xxxxxxX xxxxxxxx
166 xxxxxxX xxxxxxxx
168 xxxxxxX xxxxxxxx
170 xxxxxxX xxxxxxxx
172 xxxxxxX xxxxxxxx
174 xxxxxxX xxxxxxxx
176 xxxxxxX xxxxxxxx
178 xxxxxxxx xxxxxxxx
180 xxxxxxxx xxxxxxxx
182 xxxxxxxx xxxxxxxx
184 xxxxxxxx xxxxxxxx
186 xxxxxxxx xxxxxxxx
188 xxxxxxxx xxxxxxxx
190 xxxxxxxx xxxxxxxx
192 xxxxxxxx xxxxxxxx
194 xxxxxxxx xxxxxxxx
196 xxxxxxxx xxxxxxxx
198 xxxxxxxx xxxxxxxx
200 xxxxxxxx xxxxxxxx
202 xxxxxxxx xxxxxxxx
204 xxxxxxxx xxxxxxxx
206 xxxxxxxx xxxxxxxx
208 xxxxxxxx xxxxxxxx
210 xxxxxxxx xxxxxxxx
212 xxxxxxxx xxxxxxxx
214 xxxxxxxx xxxxxxxx
216 xxxxxxxx xxxxxxxx
218 xxxxxxxx xxxxxxxx
220 xxxxxxxx xxxxxxxx
222 xxxxxxxx xxxxxxxx
224 xxxxxxxx xxxxxxxx
226 xxxxxxxx xxxxxxxx
228 xxxxxxxx xxxxxxxx
230 xxxxxxxx xxxxxxxx
232 xxxxxxxx xxxxxxxx
234 xxxxxxxx xxxxxxxx
236 xxxxxxxx xxxxxxxx
238 xxxxxxxx xxxxxxxx
240 xxxxxxxx xxxxxxxx
242 xxxxxxxx xxxxxxxx
244 xxxxxxxx xxxxxxxx
246 xxxxxxxx xxxxxxxx
248 xxxxxxxx xxxxxxxx
250 xxxxxxxx xxxxxxxx
252 xxxxxxxx xxxxxxxx
254 xxxxxxxx xxxxxxxx
256 xxxxxxxx xxxxxxxx
258 xxxxxxxx xxxxxxxx
260 xxxxxxxx xxxxxxxx
262 xxxxxxxx xxxxxxxx
264 xxxxxxxx xxxxxxxx
266 xxxxxxxx xxxxxxxx
268 xxxxxxxx xxxxxxxx
270 xxxxxxxx xxxxxxxx
272 xxxxxxxx xxxxxxxx
274 xxxxxxxx xxxxxxxx
276 xxxxxxxx xxxxxxxx
278 xxxxxxxx xxxxxxxx
280 xxxxxxxx xxxxxxxx
282 xxxxxxxx xxxxxxxx
284 xxxxxxxx xxxxxxxx
286 xxxxxxxx xxxxxxxx
288 xxxxxxxx xxxxxxxx
290 xxxxxxxx xxxxxxxx
292 xxxxxxxx xxxxxxxx
294 xxxxxxxx xxxxxxxx
296 xxxxxxxx xxxxxxxx
298 xxxxxxxx xxxxxxxx
300 xxxxxxxx xxxxxxxx
302 xxxxxxxx xxxxxxxx
304 xxxxxxxx xxxxxxxx
306 xxxxxxxx xxxxxxxx
308 xxxxxxxx xxxxxxxx
310 xxxxxxxx xxxxxxxx
312 xxxxxxxx xxxxxxxx
314 xxxxxxxx xxxxxxxx
316 xxxxxxxx xxxxxxxx
318 xxxxxxxx xxxxxxxx
320 xxxxxxxx xxxxxxxx
322 xxxxxxxx xxxxxxxx
324 xxxxxxxx xxxxxxxx
$finish called at time : 326 ns : File "C:/Users/pen/Desktop/FPGA/IFU/IFU.srcs/sim_1/new/IFU_tb.v" Line 45
