Vivado Simulator 2019.2
Time resolution is 1 ps
s a b y
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
1 0 0 0
1 0 1 0
1 1 0 1
1 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
0 0 0 0
0 0 1 1
0 1 0 0
0 1 1 1
1 0 0 0
